,Gender,Age,Recommendation,Reward
0,m,29.0,health,0
1,m,28.0,movies,1
2,m,34.0,news,1
3,m,36.0,health,0
4,f,24.0,news,0
5,f,61.0,sports,0
6,f,30.0,sports,0
7,f,18.0,news,0
8,m,79.0,movies,0
9,m,13.0,sports,1
10,m,85.0,news,0
11,m,83.0,health,1
12,f,19.0,news,0
13,m,87.0,health,1
14,m,30.0,health,0
15,m,56.0,movies,0
16,m,73.0,news,0
17,f,59.0,movies,0
18,m,28.0,sports,1
19,m,71.0,health,1
20,f,60.0,news,0
21,f,19.0,health,0
22,f,98.0,health,1
23,f,90.0,movies,0
24,f,18.0,health,0
25,f,17.0,news,0
26,m,34.0,movies,0
27,m,31.0,health,0
28,f,71.0,sports,0
29,m,99.0,sports,0
30,f,50.0,news,0
31,f,22.0,health,0
32,m,65.0,news,0
33,f,68.0,sports,0
34,f,28.0,news,0
35,f,20.0,sports,1
36,m,88.0,health,1
37,f,74.0,movies,0
38,m,45.0,sports,1
39,m,14.0,movies,1
40,f,55.0,sports,0
41,m,46.0,news,1
42,m,17.0,sports,1
43,m,83.0,health,1
44,f,91.0,health,1
45,m,89.0,sports,0
46,f,59.0,sports,0
47,m,25.0,health,0
48,m,72.0,sports,0
49,m,51.0,health,1
50,m,92.0,news,0
51,f,82.0,news,0
52,m,24.0,news,0
53,f,14.0,movies,1
54,f,50.0,news,0
55,m,84.0,movies,0
56,m,75.0,movies,0
57,f,22.0,sports,1
58,f,93.0,news,0
59,f,15.0,movies,1
60,f,21.0,news,0
61,m,88.0,sports,0
62,f,58.0,sports,0
63,m,66.0,movies,0
64,f,61.0,movies,0
65,f,35.0,movies,1
66,m,75.0,movies,0
67,f,24.0,news,0
68,m,45.0,sports,0
69,m,74.0,health,1
70,f,56.0,health,1
71,m,64.0,movies,0
72,m,42.0,sports,1
73,m,44.0,sports,1
74,f,20.0,health,0
75,m,17.0,health,0
76,f,17.0,health,0
77,f,49.0,sports,0
78,m,80.0,movies,0
79,m,79.0,sports,0
80,f,60.0,news,0
81,f,75.0,health,1
82,m,55.0,news,0
83,m,16.0,sports,1
84,m,81.0,movies,0
85,f,48.0,health,0
86,m,16.0,sports,1
87,m,94.0,news,0
88,m,66.0,sports,0
89,f,92.0,health,1
90,m,48.0,news,1
91,m,21.0,sports,1
92,m,83.0,health,1
93,f,82.0,news,0
94,m,45.0,health,0
95,m,57.0,health,1
96,f,26.0,health,0
97,m,13.0,movies,1
98,m,27.0,health,0
99,f,15.0,sports,1
100,f,25.0,movies,1
101,m,70.0,sports,0
102,m,95.0,movies,0
103,f,69.0,news,0
104,m,90.0,sports,0
105,m,88.0,news,0
106,f,34.0,sports,0
107,m,15.0,sports,1
108,m,18.0,movies,1
109,f,39.0,movies,1
110,f,65.0,sports,0
111,m,44.0,news,0
112,f,58.0,news,0
113,m,85.0,sports,0
114,m,53.0,health,0
115,m,43.0,news,1
116,f,55.0,news,0
117,m,75.0,sports,0
118,f,11.0,health,0
119,f,52.0,health,1
120,m,69.0,sports,0
121,f,24.0,news,0
122,m,84.0,movies,0
123,m,39.0,health,0
124,m,39.0,news,1
125,f,42.0,movies,1
126,f,28.0,sports,1
127,f,19.0,sports,1
128,f,14.0,health,0
129,f,92.0,news,0
130,m,63.0,sports,0
131,m,62.0,movies,0
132,f,83.0,sports,0
133,m,75.0,sports,0
134,f,72.0,health,1
135,m,31.0,movies,0
136,m,71.0,news,0
137,m,42.0,news,1
138,m,40.0,sports,1
139,f,85.0,sports,0
140,m,42.0,movies,0
141,f,79.0,sports,0
142,m,99.0,news,0
143,m,72.0,sports,0
144,f,48.0,movies,1
145,f,61.0,health,1
146,f,67.0,movies,0
147,f,54.0,health,1
148,f,37.0,health,1
149,f,64.0,movies,0
150,m,82.0,news,0
151,f,43.0,movies,1
152,m,49.0,sports,1
153,m,26.0,health,0
154,f,32.0,movies,1
155,m,41.0,health,0
156,f,39.0,movies,1
157,f,91.0,news,0
158,m,67.0,movies,0
159,m,72.0,news,0
160,f,33.0,sports,0
161,f,96.0,sports,0
162,f,12.0,news,0
163,f,31.0,health,0
164,f,94.0,news,0
165,m,68.0,news,0
166,m,85.0,news,0
167,f,24.0,sports,1
168,f,96.0,sports,0
169,m,52.0,sports,0
170,m,74.0,movies,0
171,f,52.0,health,1
172,m,69.0,sports,0
173,m,73.0,health,1
174,f,88.0,sports,0
175,f,57.0,sports,0
176,m,97.0,news,0
177,f,14.0,health,0
178,m,35.0,news,1
179,m,97.0,sports,0
180,m,29.0,news,0
181,m,53.0,health,1
182,f,15.0,sports,1
183,m,71.0,movies,0
184,f,30.0,sports,0
185,f,94.0,movies,0
186,f,27.0,health,0
187,f,14.0,news,0
188,m,21.0,sports,1
189,m,50.0,news,0
190,m,37.0,movies,0
191,m,74.0,sports,0
192,f,16.0,sports,1
193,f,13.0,health,0
194,f,50.0,sports,0
195,f,19.0,sports,1
196,m,91.0,health,1
197,f,23.0,health,0
198,m,52.0,health,1
199,m,37.0,sports,1
200,m,37.0,movies,0
201,m,43.0,movies,0
202,f,46.0,health,1
203,m,47.0,sports,1
204,f,19.0,news,0
205,f,21.0,sports,1
206,m,61.0,movies,0
207,f,76.0,movies,0
208,m,90.0,movies,0
209,m,72.0,movies,0
210,m,71.0,sports,0
211,f,47.0,movies,1
212,m,44.0,sports,1
213,f,56.0,news,0
214,f,58.0,health,1
215,f,66.0,sports,0
216,m,12.0,news,0
217,f,44.0,movies,1
218,m,41.0,sports,1
219,f,50.0,news,0
220,m,92.0,sports,0
221,m,70.0,news,0
222,m,72.0,news,0
223,f,11.0,health,0
224,f,46.0,health,1
225,f,49.0,health,1
226,m,10.0,health,0
227,f,61.0,sports,0
228,f,26.0,sports,1
229,m,28.0,sports,1
230,f,40.0,news,0
231,m,46.0,movies,0
232,f,51.0,health,1
233,m,91.0,movies,0
234,f,48.0,health,1
235,f,84.0,sports,0
236,f,82.0,health,1
237,f,22.0,news,0
238,m,47.0,health,0
239,f,82.0,sports,0
240,m,14.0,sports,1
241,f,76.0,health,1
242,m,77.0,health,1
243,m,12.0,sports,1
244,f,62.0,sports,0
245,m,55.0,health,1
246,f,95.0,movies,0
247,m,91.0,movies,0
248,f,55.0,sports,0
249,m,35.0,health,0
250,m,45.0,news,1
251,m,43.0,movies,0
252,f,56.0,movies,0
253,m,56.0,health,1
254,f,69.0,sports,0
255,m,84.0,news,0
256,f,70.0,movies,0
257,m,79.0,health,1
258,m,38.0,sports,1
259,f,66.0,sports,0
260,f,95.0,movies,0
261,f,34.0,health,1
262,f,77.0,movies,0
263,f,89.0,sports,0
264,f,56.0,movies,0
265,m,94.0,health,1
266,m,64.0,sports,0
267,f,12.0,news,0
268,m,24.0,sports,1
269,m,85.0,movies,0
270,m,84.0,health,1
271,m,69.0,movies,0
272,f,86.0,news,0
273,m,81.0,movies,0
274,f,66.0,movies,0
275,f,94.0,health,1
276,f,12.0,health,0
277,f,31.0,sports,0
278,m,86.0,sports,0
279,f,71.0,sports,0
280,f,72.0,movies,0
281,m,65.0,sports,0
282,m,85.0,movies,0
283,m,51.0,news,0
284,f,32.0,news,0
285,m,35.0,news,1
286,m,58.0,movies,0
287,f,56.0,health,1
288,f,28.0,sports,1
289,f,69.0,news,0
290,f,22.0,news,0
291,m,59.0,health,1
292,m,31.0,health,0
293,f,73.0,health,1
294,m,62.0,health,1
295,m,54.0,health,1
296,f,30.0,movies,1
297,m,81.0,sports,0
298,m,51.0,news,0
299,m,88.0,sports,0
300,m,92.0,health,1
301,f,31.0,sports,0
302,m,44.0,sports,1
303,m,75.0,sports,0
304,f,57.0,sports,0
305,m,28.0,health,0
306,f,56.0,sports,0
307,m,64.0,news,0
308,m,13.0,news,0
309,m,79.0,movies,0
310,f,22.0,movies,0
311,f,76.0,sports,0
312,f,42.0,movies,0
313,m,27.0,news,0
314,m,70.0,movies,0
315,f,62.0,news,0
316,f,40.0,movies,1
317,m,19.0,news,0
318,m,67.0,health,1
319,f,44.0,sports,0
320,m,69.0,sports,0
321,f,26.0,sports,0
322,f,92.0,sports,0
323,m,75.0,movies,0
324,f,41.0,movies,1
325,f,38.0,health,1
326,m,96.0,sports,0
327,m,70.0,sports,0
328,f,40.0,health,1
329,m,30.0,news,1
330,m,18.0,news,0
331,m,93.0,health,1
332,m,95.0,news,0
333,f,53.0,news,0
334,f,24.0,sports,1
335,f,28.0,sports,1
336,m,82.0,sports,0
337,f,33.0,health,0
338,m,14.0,news,0
339,f,66.0,movies,0
340,f,87.0,news,0
341,m,67.0,health,1
342,f,66.0,news,0
343,f,51.0,health,1
344,m,66.0,movies,0
345,m,58.0,movies,0
346,f,92.0,movies,0
347,m,18.0,movies,1
348,f,44.0,movies,1
349,m,95.0,news,0
350,m,54.0,news,0
351,m,38.0,movies,0
352,f,40.0,sports,0
353,f,41.0,sports,0
354,m,25.0,sports,1
355,f,41.0,movies,1
356,m,31.0,news,1
357,f,42.0,sports,0
358,f,79.0,sports,0
359,f,47.0,movies,1
360,f,40.0,sports,0
361,m,28.0,news,0
362,f,37.0,sports,0
363,m,27.0,sports,1
364,f,42.0,movies,1
365,m,37.0,news,1
366,f,43.0,movies,1
367,m,64.0,health,0
368,m,93.0,sports,0
369,f,46.0,health,1
370,m,36.0,movies,0
371,f,60.0,sports,0
372,f,21.0,news,0
373,m,41.0,health,0
374,f,18.0,news,0
375,f,15.0,sports,1
376,m,37.0,movies,0
377,f,17.0,news,0
378,m,98.0,sports,0
379,f,97.0,health,1
380,m,51.0,movies,0
381,m,44.0,movies,0
382,f,15.0,sports,1
383,m,54.0,health,1
384,m,13.0,sports,0
385,m,95.0,news,0
386,m,98.0,movies,0
387,m,92.0,movies,0
388,f,69.0,sports,0
389,f,80.0,movies,0
390,m,70.0,sports,0
391,f,96.0,health,1
392,f,87.0,sports,0
393,f,52.0,news,0
394,m,88.0,health,1
395,m,29.0,movies,1
396,m,33.0,movies,0
397,f,12.0,news,0
398,m,79.0,news,0
399,f,16.0,sports,1
400,m,76.0,news,0
401,m,27.0,movies,1
402,m,44.0,health,0
403,f,47.0,movies,1
404,f,50.0,health,0
405,f,48.0,sports,0
406,m,42.0,movies,0
407,f,80.0,movies,0
408,f,35.0,sports,0
409,m,57.0,health,1
410,f,50.0,health,0
411,f,24.0,movies,1
412,m,61.0,health,1
413,m,66.0,health,1
414,f,54.0,sports,0
415,m,57.0,movies,0
416,m,97.0,news,0
417,m,21.0,health,0
418,f,77.0,news,0
419,m,35.0,sports,1
420,m,43.0,news,1
421,m,74.0,health,1
422,m,80.0,news,0
423,m,24.0,news,0
